[individuals]
496
[dimensions]
3
[landmarks]
119
[rawpoints]
'#1 Gca_F_B_SMF_4509
-1.148115e+01 7.609370e+00 5.050149e+01
-1.110073e+01 6.352859e+00 5.669188e+01
-1.319448e+01 1.177409e+01 4.341573e+01
-1.259355e+01 7.417861e+00 6.439359e+01
-2.157942e+01 1.770962e+01 5.146586e+01
-2.110406e+01 1.614936e+01 6.012374e+01
-1.710099e+01 1.794979e+01 4.872836e+01
-1.639931e+01 1.485856e+01 6.262880e+01
-1.954185e+01 1.872777e+01 5.633018e+01
-1.630976e+01 2.269229e+01 5.692991e+01
-2.902785e+00 -1.422101e+01 4.832916e+01
-1.204239e+00 -8.302355e+00 4.947659e+01
1.131989e+00 -2.586225e+00 5.052538e+01
2.996551e+00 3.258021e+00 5.179052e+01
1.807404e+00 8.008728e+00 5.267622e+01
6.048906e-01 1.270762e+01 5.379050e+01
-4.390541e-01 1.743900e+01 5.492706e+01
-3.153112e+00 2.008196e+01 5.571579e+01
-6.407080e+00 2.204666e+01 5.644040e+01
-8.636413e+00 2.509021e+01 5.730065e+01
-8.727567e+00 9.272917e+00 4.047607e+01
-6.472503e+00 1.118411e+01 4.323771e+01
-4.552926e+00 1.403715e+01 4.536818e+01
-2.389117e+00 1.716683e+01 4.674205e+01
-2.634818e-02 2.055095e+01 4.864420e+01
2.758092e+00 2.402444e+01 4.955782e+01
5.055209e+00 2.749002e+01 5.139252e+01
2.738800e+00 2.394165e+01 5.167846e+01
2.851916e-01 2.048480e+01 5.194473e+01
-4.390541e-01 1.743900e+01 5.492706e+01
8.447052e-01 1.832264e+01 5.877545e+01
2.686625e+00 2.171509e+01 6.049408e+01
4.921357e+00 2.507742e+01 6.174150e+01
3.291405e+00 2.075208e+01 6.217589e+01
8.220652e-01 1.684763e+01 6.171704e+01
-1.390066e+00 1.282938e+01 6.243404e+01
-3.346061e+00 9.516345e+00 6.270861e+01
-5.177430e+00 6.325341e+00 6.386708e+01
-6.932502e+00 3.492208e+00 6.580898e+01
-1.185753e+01 2.244899e+01 5.121176e+01
